ID	site	plate	face	Annelida	Ascidia	Bryozoa	CCA	Chlorophyta	Cnidaria	Colonial Ascidia	Crustacea	Echinodermata	Foraminifera	Indeterminate	Mollusca	Not alive	Other Algae	Phaeophyta	Porifera	Rhodophyta
CONI_S1A_P1B	CON	A	B	19	0	3	1	0	0	6	0	0	0	0	3	29	0	1	0	2
CONI_S1A_P4B	CON	B	B	26	0	0	1	0	1	0	0	0	0	1	0	31	0	0	0	4
CONI_S1A_P8B	CON	C	B	16	0	2	0	0	0	0	0	0	0	0	2	44	0	0	0	0
CONI_S1B_P1B	CON	A	B	9	0	8	0	1	0	0	0	0	0	0	0	37	0	0	0	9
CONI_S1B_P4B	CON	B	B	18	0	2	0	0	0	1	0	0	0	1	1	38	0	0	0	3
CONI_S1B_P8B	CON	C	B	9	0	0	0	0	0	0	0	0	0	0	0	52	0	2	0	1
CONI_S2A_P1B	CON	A	B	32	0	6	0	0	0	0	0	0	0	0	0	23	0	0	0	3
CONI_S2A_P4B	CON	B	B	12	0	16	0	0	0	0	0	0	0	1	11	24	0	0	0	0
CONI_S2A_P8B	CON	C	B	7	0	15	1	0	0	0	0	0	0	0	5	33	0	0	3	0
CONI_S2B_P1B	CON	A	B	6	0	19	0	0	0	23	0	0	0	0	2	13	0	0	0	1
CONI_S2B_P4B	CON	B	B	1	0	16	2	0	0	5	0	0	0	0	4	29	0	0	7	0
CONI_S2B_P8B	CON	C	B	5	0	13	0	0	0	4	0	0	0	0	2	26	0	0	14	0
CONI_S2C_P1B	CON	A	B	11	0	11	0	0	0	10	1	0	0	0	8	9	0	0	11	3
CONI_S2C_P4B	CON	B	B	3	0	11	0	0	1	8	1	0	0	0	4	20	0	0	16	0
CONI_S2C_P8B	CON	C	B	8	0	19	0	0	0	6	0	0	0	1	2	28	0	0	0	0
CONI_S3A_P1B	CON	A	B	5	0	5	0	0	10	3	0	1	0	1	7	13	0	0	16	3
CONI_S3A_P4B	CON	B	B	3	0	2	2	1	6	5	0	0	0	4	5	24	0	0	12	0
CONI_S3A_P8B	CON	C	B	8	0	1	1	1	3	8	1	0	0	7	1	27	0	0	4	2
CONI_S3B_P1B	CON	A	B	2	0	7	0	1	0	50	0	0	0	0	3	1	0	0	0	0
CONI_S3B_P4B	CON	B	B	9	0	3	0	0	4	15	0	0	0	2	0	25	0	0	3	3
CONI_S3B_P8B	CON	C	B	6	0	6	0	0	6	2	0	0	0	3	4	34	0	0	0	3
CONI_S3C_P1B	CON	A	B	6	0	7	0	0	20	6	0	0	0	6	2	13	0	0	3	1
CONI_S3C_P4B	CON	B	B	10	0	3	0	0	7	0	0	0	0	2	3	27	0	0	11	1
CONI_S3C_P8B	CON	C	B	9	0	2	0	0	6	0	0	0	0	6	5	36	0	0	0	0
CONI_S1A_P1T	CON	A	T	1	0	0	5	0	0	0	0	0	0	9	0	3	0	2	0	44
CONI_S1A_P4T	CON	B	T	2	0	0	2	0	0	0	0	0	0	0	8	44	0	0	0	8
CONI_S1A_P8T	CON	C	T	3	0	3	2	0	0	0	0	0	0	0	8	47	0	0	0	1
CONI_S1B_P1T	CON	A	T	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	57
CONI_S1B_P4T	CON	B	T	2	0	0	2	0	0	0	0	0	0	2	4	51	0	0	0	3
CONI_S1B_P8T	CON	C	T	1	0	0	5	0	0	0	0	0	0	0	1	57	0	0	0	0
CONI_S2A_P1T	CON	A	T	0	0	0	0	1	0	0	1	0	0	0	0	38	0	1	0	23
CONI_S2A_P4T	CON	B	T	34	0	11	0	0	0	0	0	0	0	0	6	12	0	0	0	1
CONI_S2A_P8T	CON	C	T	17	0	3	0	0	0	0	0	0	0	0	15	24	0	3	0	2
CONI_S2B_P1T	CON	A	T	0	0	0	2	0	0	0	0	0	0	0	0	45	0	2	0	15
CONI_S2B_P4T	CON	B	T	3	0	13	0	0	0	0	1	0	0	0	7	40	0	0	0	0
CONI_S2B_P8T	CON	C	T	7	0	5	1	0	0	2	0	0	0	0	6	42	0	0	0	1
CONI_S2C_P1T	CON	A	T	0	0	2	1	1	0	0	0	0	0	0	0	35	0	0	0	25
CONI_S2C_P4T	CON	B	T	1	0	6	0	0	0	0	0	0	0	0	3	50	0	0	0	4
CONI_S2C_P8T	CON	C	T	1	0	5	0	0	0	0	0	0	0	0	7	48	0	0	3	0
CONI_S3A_P1T	CON	A	T	0	0	0	6	0	0	0	0	0	0	0	0	44	0	0	0	14
CONI_S3A_P4T	CON	B	T	32	0	0	0	0	0	0	0	0	0	1	10	21	0	0	0	0
CONI_S3A_P8T	CON	C	T	38	0	0	1	0	0	0	0	0	0	0	8	17	0	0	0	0
CONI_S3B_P1T	CON	A	T	6	0	1	0	1	0	0	0	0	0	0	0	42	0	0	0	14
CONI_S3B_P4T	CON	B	T	11	0	4	2	0	0	0	0	0	0	0	0	47	0	0	0	0
CONI_S3B_P8T	CON	C	T	3	0	2	0	0	0	0	0	0	0	0	5	52	0	0	0	2
CONI_S3C_P1T	CON	A	T	4	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	28
CONI_S3C_P4T	CON	B	T	8	0	8	0	0	1	0	0	0	0	0	8	38	0	0	0	1
CONI_S3C_P8T	CON	C	T	10	0	0	0	0	1	0	0	0	0	1	6	45	0	0	0	1
AZTI_S1A_P1B	AZT	A	B	27	0	22	0	4	0	0	0	0	0	0	0	6	0	0	0	5
AZTI_S1A_P4B	AZT	B	B	11	0	16	2	0	0	0	0	0	0	2	1	31	0	0	0	1
AZTI_S1A_P8B	AZT	C	B	18	0	16	0	0	0	0	0	0	0	3	1	25	0	0	0	1
AZTI_S1B_P1B	AZT	A	B	7	0	16	0	11	0	0	0	0	0	0	0	30	0	0	0	0
AZTI_S1B_P4B	AZT	B	B	15	0	21	2	1	0	0	1	0	0	10	0	13	0	1	0	0
AZTI_S1B_P8B	AZT	C	B	14	0	22	0	0	0	0	0	0	0	2	0	22	0	1	0	3
AZTI_S1C_P1B	AZT	A	B	31	0	18	0	3	0	0	0	0	0	0	0	12	0	0	0	0
AZTI_S1C_P4B	AZT	B	B	23	0	10	0	3	0	0	0	0	0	4	1	21	0	0	0	2
AZTI_S1C_P8B	AZT	C	B	13	0	21	0	0	0	0	0	0	0	7	0	22	0	0	0	1
AZTI_S2A_P1B	AZT	A	B	31	0	19	0	0	0	0	0	0	0	8	0	5	0	0	0	1
AZTI_S2A_P4B	AZT	B	B	22	0	16	0	0	0	0	0	0	0	1	0	25	0	0	0	0
AZTI_S2A_P8B	AZT	C	B	17	2	22	0	0	0	0	0	0	0	2	0	20	0	0	0	1
AZTI_S2B_P1B	AZT	A	B	48	0	6	0	0	0	0	1	0	0	1	0	5	0	1	0	2
AZTI_S2B_P4B	AZT	B	B	34	0	6	0	0	0	0	0	0	0	3	0	21	0	0	0	0
AZTI_S2B_P8B	AZT	C	B	30	0	8	0	0	0	0	0	0	0	3	0	22	0	0	0	1
AZTI_S2C_P1B	AZT	A	B	43	0	5	0	0	0	0	2	0	0	2	2	5	0	4	0	1
AZTI_S2C_P4B	AZT	B	B	32	0	8	1	0	0	0	0	0	0	1	1	18	0	1	0	2
AZTI_S2C_P8B	AZT	C	B	32	1	5	0	0	0	0	1	0	0	3	2	18	0	0	0	2
AZTI_S3A_P1B	AZT	A	B	50	0	8	0	0	0	0	0	0	0	0	1	5	0	0	0	0
AZTI_S3A_P4B	AZT	B	B	21	0	3	0	0	0	0	0	0	0	2	2	35	0	0	0	1
AZTI_S3A_P8B	AZT	C	B	18	0	5	0	0	0	0	0	0	0	2	1	36	0	0	0	2
AZTI_S3B_P1B	AZT	A	B	24	0	7	0	0	0	0	0	0	0	3	0	14	16	0	0	0
AZTI_S3B_P4B	AZT	B	B	12	0	3	0	0	0	0	0	0	0	1	1	32	15	0	0	0
AZTI_S3B_P8B	AZT	C	B	6	0	1	0	0	0	0	0	0	0	3	0	32	22	0	0	0
AZTI_S3C_P1B	AZT	A	B	43	0	7	0	0	0	0	0	0	0	2	0	12	0	0	0	0
AZTI_S3C_P4B	AZT	B	B	14	0	4	0	0	0	0	0	0	0	2	2	38	4	0	0	0
AZTI_S3C_P8B	AZT	C	B	15	0	6	0	0	0	0	0	0	0	3	0	35	5	0	0	0
AZTI_S1A_P1T	AZT	A	T	0	0	0	0	31	0	0	0	0	0	0	0	13	0	0	0	20
AZTI_S1A_P4T	AZT	B	T	16	0	11	7	0	0	0	0	0	0	6	0	21	0	0	0	3
AZTI_S1A_P8T	AZT	C	T	16	0	7	11	0	0	0	0	0	0	6	1	20	0	1	0	2
AZTI_S1B_P1T	AZT	A	T	0	0	0	0	40	0	0	0	0	0	0	0	11	0	0	0	13
AZTI_S1B_P4T	AZT	B	T	14	0	24	9	0	0	0	0	0	0	5	0	11	0	0	0	1
AZTI_S1B_P8T	AZT	C	T	17	0	20	0	0	0	0	0	0	0	9	0	7	0	0	0	11
AZTI_S1C_P1T	AZT	A	T	0	0	1	0	26	0	0	0	0	0	8	0	13	0	0	0	16
AZTI_S1C_P4T	AZT	B	T	23	0	13	0	16	0	0	0	0	0	6	0	2	0	0	0	4
AZTI_S2A_P1T	AZT	A	T	0	0	0	0	0	0	0	0	0	0	1	0	0	0	59	0	4
AZTI_S2A_P4T	AZT	B	T	18	0	23	0	0	0	0	0	0	0	15	0	5	0	0	0	3
AZTI_S2B_P1T	AZT	A	T	0	0	0	0	0	0	0	0	0	0	0	0	1	0	54	0	9
AZTI_S2B_P4T	AZT	B	T	36	0	3	0	0	0	0	0	0	0	0	18	4	0	0	0	3
AZTI_S2A_P8T	AZT	C	T	36	0	20	0	0	0	0	0	0	0	2	0	3	0	0	0	3
AZTI_S2C_P1T	AZT	A	T	0	0	0	0	0	0	0	0	0	0	0	0	1	0	52	0	11
AZTI_S2C_P4T	AZT	B	T	41	0	8	0	0	0	0	0	0	0	4	3	2	0	1	0	5
AZTI_S2C_P8T	AZT	C	T	53	0	4	0	0	0	0	1	0	0	1	0	3	0	1	0	1
AZTI_S3A_P1T	AZT	A	T	0	0	0	0	0	0	0	0	0	0	1	0	2	0	37	0	24
AZTI_S3A_P4T	AZT	B	T	20	0	8	1	0	0	0	0	0	0	0	0	28	0	0	0	7
AZTI_S3A_P8T	AZT	C	T	12	0	9	3	0	0	0	0	0	0	2	0	36	0	0	0	2
AZTI_S3B_P1T	AZT	A	T	0	0	0	1	0	0	0	0	0	0	0	0	18	0	19	0	26
AZTI_S3B_P4T	AZT	B	T	25	0	7	0	0	0	0	0	0	0	5	0	26	1	0	0	0
AZTI_S3B_P8T	AZT	C	T	22	0	2	3	0	0	0	0	0	0	1	0	34	2	0	0	0
AZTI_S3C_P1T	AZT	A	T	0	0	1	0	0	0	0	0	0	0	0	0	14	0	12	0	37
AZTI_S3C_P4T	AZT	B	T	37	0	2	1	0	0	0	0	0	0	2	0	19	0	0	0	3
AZTI_S3C_P8T	AZT	C	T	25	0	2	0	0	0	0	0	0	0	2	0	34	1	0	0	0
CNRS_S1A_P1B	CNR	A	B	43	0	11	2	0	0	0	0	0	0	4	0	3	0	0	0	1
CNRS_S1A_P4B	CNR	B	B	31	0	4	1	0	0	0	0	0	0	1	0	24	0	0	2	1
CNRS_S1A_P8B	CNR	C	B	14	0	21	2	0	0	0	0	0	0	0	0	27	0	0	0	0
CNRS_S1B_P1B	CNR	A	B	41	0	14	1	0	0	0	0	0	0	5	0	2	0	0	0	1
CNRS_S1B_P4B	CNR	B	B	23	5	9	0	0	0	0	0	0	0	4	0	23	0	0	0	0
CNRS_S1B_P8B	CNR	C	B	19	2	15	0	0	0	0	0	0	0	3	0	23	0	0	0	2
CNRS_S1C_P1B	CNR	A	B	47	0	9	0	0	0	0	0	0	0	4	0	3	0	0	0	1
CNRS_S1C_P4B	CNR	B	B	33	2	10	0	0	0	0	0	0	0	0	0	17	0	0	1	1
CNRS_S1C_P8B	CNR	C	B	14	0	21	5	0	0	0	0	0	0	1	0	23	0	0	0	0
CNRS_S2A_P1B	CNR	A	B	30	0	14	0	9	1	0	0	0	0	1	0	8	0	0	0	1
CNRS_S2A_P4B	CNR	B	B	19	0	14	1	2	0	0	0	0	0	2	0	24	0	0	1	1
CNRS_S2A_P8B	CNR	C	B	9	0	32	1	0	0	0	0	0	0	2	0	20	0	0	0	0
CNRS_S2B_P1B	CNR	A	B	41	0	16	2	0	2	0	0	0	0	1	0	2	0	0	0	0
CNRS_S2B_P4B	CNR	B	B	27	0	12	3	0	1	0	0	0	0	1	0	20	0	0	0	0
CNRS_S2B_P8B	CNR	C	B	2	0	28	4	0	1	0	0	0	0	1	0	27	0	0	0	1
CNRS_S2C_P1B	CNR	A	B	47	0	5	3	0	3	0	0	0	0	1	0	5	0	0	0	0
CNRS_S2C_P4B	CNR	B	B	30	0	11	4	0	1	0	0	0	0	2	0	16	0	0	0	0
CNRS_S2C_P8B	CNR	C	B	11	3	12	4	0	0	0	0	0	0	6	1	27	0	0	0	0
CNRS_S3A_P1B	CNR	A	B	39	0	17	1	0	0	0	0	0	0	1	1	3	0	0	0	2
CNRS_S3A_P4B	CNR	B	B	6	4	17	2	0	0	0	0	0	0	1	1	33	0	0	0	0
CNRS_S3A_P8B	CNR	C	B	4	0	31	0	0	0	0	0	0	0	2	0	27	0	0	0	0
CNRS_S3B_P1B	CNR	A	B	22	1	31	1	0	0	0	0	0	0	4	0	5	0	0	0	0
CNRS_S3B_P4B	CNR	B	B	11	0	24	0	0	1	0	0	0	0	0	0	28	0	0	0	0
CNRS_S3B_P8B	CNR	C	B	3	11	23	3	0	0	0	0	0	0	1	0	23	0	0	0	0
CNRS_S3C_P1B	CNR	A	B	36	0	15	0	0	6	0	0	0	0	4	1	2	0	0	0	0
CNRS_S3C_P4B	CNR	B	B	13	0	26	0	0	0	0	0	0	0	2	3	20	0	0	0	0
CNRS_S3C_P8B	CNR	C	B	2	0	33	0	0	0	0	0	0	0	0	0	26	0	0	0	3
CNRS_S1A_P1T	CNR	A	T	1	0	0	12	0	0	0	0	0	0	24	0	5	0	0	0	22
CNRS_S1A_P4T	CNR	B	T	24	0	6	8	0	0	0	0	0	0	2	0	19	0	0	1	4
CNRS_S1A_P8T	CNR	C	T	12	0	29	8	0	0	0	0	0	0	4	0	8	0	0	0	3
CNRS_S1B_P1T	CNR	A	T	0	0	0	16	0	0	0	0	0	0	25	0	2	0	0	0	21
CNRS_S1B_P4T	CNR	B	T	20	0	9	6	0	0	0	0	0	0	6	0	14	0	0	9	0
CNRS_S1B_P8T	CNR	C	T	10	0	13	5	0	0	0	0	0	0	9	0	24	0	0	2	1
CNRS_S1C_P1T	CNR	A	T	0	0	0	25	0	0	0	0	0	0	29	0	3	0	0	0	7
CNRS_S1C_P4T	CNR	B	T	31	0	8	10	0	0	0	0	0	0	0	0	12	0	0	1	2
CNRS_S1C_P8T	CNR	C	T	14	0	30	12	0	0	0	0	0	0	2	0	4	0	0	0	2
CNRS_S2A_P1T	CNR	A	T	4	0	0	26	4	0	0	0	0	0	2	0	13	0	7	0	8
CNRS_S2A_P4T	CNR	B	T	11	0	28	17	2	0	0	0	0	0	3	0	3	0	0	0	0
CNRS_S2A_P8T	CNR	C	T	3	0	40	4	0	0	0	0	0	1	1	1	6	0	0	2	6
CNRS_S2B_P1T	CNR	A	T	0	0	0	12	0	1	0	0	0	0	1	0	5	0	0	0	45
CNRS_S2B_P4T	CNR	B	T	21	0	11	8	0	3	0	0	0	0	4	3	5	0	0	6	3
CNRS_S2B_P8T	CNR	C	T	2	0	17	13	0	1	0	0	0	1	24	0	5	0	0	0	1
CNRS_S2C_P1T	CNR	A	T	0	0	0	4	0	0	0	0	0	0	2	0	3	0	0	0	55
CNRS_S2C_P4T	CNR	B	T	15	0	9	15	0	1	0	0	0	0	17	0	7	0	0	0	0
CNRS_S2C_P8T	CNR	C	T	21	0	6	16	0	0	0	0	0	3	14	0	3	0	0	1	0
CNRS_S3A_P1T	CNR	A	T	2	0	0	33	0	0	0	0	0	0	3	0	1	0	0	0	25
CNRS_S3A_P4T	CNR	B	T	19	0	24	9	0	0	0	0	0	0	0	5	5	0	0	0	2
CNRS_S3A_P8T	CNR	C	T	8	0	33	10	0	0	0	0	0	6	2	0	3	0	0	0	2
CNRS_S3B_P1T	CNR	A	T	4	0	3	28	0	0	0	0	0	0	1	0	7	0	0	0	21
CNRS_S3B_P4T	CNR	B	T	22	0	27	11	0	0	0	0	0	0	1	0	3	0	0	0	0
CNRS_S3B_P8T	CNR	C	T	9	0	34	7	0	0	0	0	0	2	4	0	4	0	0	0	4
CNRS_S3C_P1T	CNR	A	T	0	0	0	32	0	1	0	0	0	0	5	0	5	0	0	0	21
CNRS_S3C_P4T	CNR	B	T	8	0	31	13	0	0	0	0	0	1	0	5	6	0	0	0	0
CNRS_S3C_P8T	CNR	C	T	19	0	32	7	0	0	0	0	0	0	0	0	4	0	0	0	2
